Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
2.23 Amphetamine intoxication,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,2,23,,Amphetamine intoxication,,,
3 Cardiovascular and respiratory system Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,,Cardiovascular and respiratory system,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Study,,,,,,
"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders",,,Non‐comparative studies: proportion of participants with serious adverse events,5,"Respiratory,",,thoracic and media,,,,
Germinario 2013,Aortic embolism,1/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Hammerness 2009,Spontaneous pneumothorax,1/57,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Hammerness,,,,,,
Cardiac problems,Cardiac problems,Cardiac problems,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cardiac,,,,,,
Arman 2013,Cardiac rhythm abnormalities,0/15,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Arman,,,,,,
Germinario 2013,Cardiovascular problems,2/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Winterstein 2009,Serious cardiac problems,"171/18,238",,,Non‐comparative studies: proportion of participants with serious adverse events,5,Winterstein,,,,,,
Tachycardia,Tachycardia,Tachycardia,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Tachycardia,,,,,,
Cortese 2015,Tachycardia,2/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Germinario 2013,Tachycardia,2/1098,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Germinario,,,,,,
Severe hypertension,Severe hypertension,Severe hypertension,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Severe,,,,,,
Cortese 2015,Severe hypertension,2/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Epistaxsis,Epistaxsis,Epistaxsis,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Epistaxsis,,,,,,
Cortese 2015,Epistaxsis,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Viral illness,Viral illness,Viral illness,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Viral,,,,,,
Hammerness 2009,Participants affected by viral illness,1/57,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Hammerness,,,,,,
"3.1 Respiratory, thoracic and mediastinal disorders",,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,1,,"Respiratory, thoracic and mediastinal disorders",,,
3.2 Cardiac problems,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,2,,Cardiac problems,,,
3.3 Tachycardia,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,3,,Tachycardia,,,
3.4 Severe hypertension,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,4,,Severe hypertension,,,
3.5 Epistaxsis,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,5,,Epistaxsis,,,
3.6 Viral illness,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,3,6,,Viral illness,,,
4 Gastrointestinal system Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,4,,Gastrointestinal system,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Study,,,,,,
Gastrointestinal disease,Gastrointestinal disease,Gastrointestinal disease,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Gastrointestinal,,,,,,
Cortese 2015,Gastrointestinal disease,6/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
Liver disease,Liver disease,Liver disease,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Liver,,,,,,
Cortese 2015,Hyperbilrubinemia,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
4.1 Gastrointestinal disease,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,4,1,,Gastrointestinal disease,,,
4.2 Liver disease,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,4,2,,Liver disease,,,
5 Musculoskeletal system: fractures Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,5,,Musculoskeletal system: fractures,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Study,,,,,,
Findling 2009,Ankle fracture,1/327,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Findling,,,,,,
Hammerness 2009,Leg fracture,2/57,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Hammerness,,,,,,
6 Immune system: autoimmune disease Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with serious adverse events,5,6,,Immune system: autoimmune disease,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Study,,,,,,
Cortese 2015,Autoimmune disease,1/1426,,,Non‐comparative studies: proportion of participants with serious adverse events,5,Cortese,,,,,,
1 Proportion of participants withdrawn from methylphenidate treatment due to serious adverse events Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,1,,Proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,,,,
Study,,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Study,,,,,,
Serious adverse events,Serious adverse events,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Serious,,,,,,
Arabgol 2015,1/18,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Arabgol,,,,,,
Arnold 2010,1/171,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Arnold,,,,,,
Ashkenasi 2011,1/26,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Ashkenasi,,,,,,
Faraone 2007a,3/268,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Faraone,,,,,,
Findling 2010,2/162,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Findling,,,,,,
Na 2013,1/121,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Na,,,,,,
Wilens 2005,1/407,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Wilens,,,,,,
Hallucinations,Hallucinations,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Hallucinations,,,,,,
Ashkenasi 2011,1/26,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Ashkenasi,,,,,,
Na 2013,1/121,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Na,,,,,,
Wilens 2005,1/407,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Wilens,,,,,,
Severe anorexia,Severe anorexia,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Severe,,,,,,
Arabgol 2015,1/18,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Arabgol,,,,,,
Suicide attempt,Suicide attempt,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Suicide,,,,,,
Arnold 2010,1/171,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Arnold,,,,,,
1.1 Serious adverse events,,,Other data,No numeric data,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,1,1,,Serious adverse events,,,
1.2 Hallucinations,,,Other data,No numeric data,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,1,2,,Hallucinations,,,
1.3 Severe anorexia,,,Other data,No numeric data,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,1,3,,Severe anorexia,,,
1.4 Suicide attempt,,,Other data,No numeric data,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,1,4,,Suicide attempt,,,
2 Proportion of participants withdrawn from methylphenidate treatment due to adverse events of unknown severity Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,2,,Proportion of participants withdrawn from methylphenidate treatment due to adverse events of unknown severity,,,,
Study,,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Study,,,,,,
Altin 2013,4/204,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Altin,,,,,,
Arnold 2004,4/89,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Arnold,,,,,,
Arnold 2010,4/171,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Arnold,,,,,,
Atzori 2009,17/189,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Atzori,,,,,,
Chou 2012b,15/296,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Chou,,,,,,
Dodangi 2011,2/15,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Dodangi,,,,,,
"Döpfner 2011a, OBSEER",26/822,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Döpfner,,,,,,
Findling 2009,51/326,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Findling,,,,,,
Kim 2015b,8/143,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Kim,,,,,,
Kordon 2011,53/598,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Kordon,,,,,,
Kratochvil 2002,5/44,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Kratochvil,,,,,,
Lee 2009,28/144,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Lee,,,,,,
Lee 2012,1/93,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Lee,,,,,,
Maia 2008,3/39,,,,Non‐comparative studies: proportion of participants withdrawn from methylphenidate treatment due to serious adverse events,12,Maia,,,,,,
